t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.0569,2.3207,-1.7486,0.0,0.0,0.0268
0.05,-8.0569,2.3207,-1.745,0.0,0.0,0.0313
0.101,-8.0572,2.3193,-1.7224,0.0013,0.0001,0.0655
0.151,-8.0576,2.3158,-1.6846,0.0034,0.0003,0.0891
0.201,-8.0579,2.3134,-1.6594,0.0075,0.0008,0.1253
0.252,-8.0581,2.3098,-1.6216,0.0106,0.0012,0.1506
0.302,-8.0582,2.3074,-1.5964,0.0153,0.002,0.1885
0.352,-8.0583,2.305,-1.5712,0.0185,0.0026,0.2138
0.403,-8.0582,2.3014,-1.5334,0.0225,0.0035,0.2463
0.453,-8.0581,2.299,-1.5082,0.0254,0.0043,0.2697
0.503,-8.0579,2.2966,-1.4831,0.0298,0.0055,0.3059
0.553,-8.0575,2.2931,-1.4453,0.0328,0.0065,0.3312
0.604,-8.0572,2.2907,-1.4201,0.0371,0.008,0.3673
0.654,-8.0566,2.2872,-1.3823,0.0399,0.0091,0.3907
0.704,-8.0561,2.2848,-1.3571,0.0443,0.011,0.4286
0.754,-8.0556,2.2825,-1.3319,0.0472,0.0123,0.4539
0.805,-8.0547,2.279,-1.2941,0.0509,0.0142,0.4864
0.855,-8.054,2.2767,-1.2689,0.0537,0.0157,0.5116
0.905,-8.0529,2.2733,-1.231,0.0576,0.0179,0.5477
0.955,-8.052,2.271,-1.2057,0.0601,0.0195,0.5713
1.006,-8.0511,2.2688,-1.1803,0.0639,0.022,0.6079
1.056,-8.0496,2.2653,-1.1417,0.0663,0.0237,0.6319
1.107,-8.0485,2.263,-1.1156,0.0701,0.0265,0.6712
1.157,-8.0467,2.2595,-1.0757,0.0726,0.0285,0.698
1.207,-8.0454,2.257,-1.0485,0.0762,0.0316,0.739
1.258,-8.0439,2.2545,-1.0207,0.078,0.0333,0.761
1.308,-8.0414,2.2507,-0.978,0.0812,0.0365,0.802
1.358,-8.0396,2.2481,-0.9488,0.0833,0.0386,0.8291
1.408,-8.0368,2.2443,-0.9051,0.0863,0.042,0.8708
1.459,-8.0348,2.2419,-0.876,0.0891,0.0455,0.9126
1.509,-8.0327,2.2394,-0.847,0.0911,0.0481,0.9417
1.559,-8.0292,2.2356,-0.8034,0.0931,0.0509,0.9708
1.609,-8.0265,2.2329,-0.7744,0.0961,0.0557,1.0145
1.66,-8.022,2.2287,-0.7309,0.0987,0.0602,1.0519
1.71,-8.0187,2.2258,-0.7019,0.1007,0.0638,1.0788
1.76,-8.0151,2.2228,-0.6729,0.1037,0.0698,1.1204
1.81,-8.0091,2.2182,-0.6294,0.1058,0.0744,1.1495
1.86,-8.0048,2.2152,-0.6005,0.1087,0.0814,1.1908
1.911,-7.9978,2.2106,-0.5576,0.1105,0.0863,1.2174
1.961,-7.9928,2.2075,-0.5293,0.1134,0.0947,1.26
2.011,-7.9876,2.2046,-0.5014,0.1152,0.1007,1.2878
2.061,-7.9794,2.2003,-0.4607,0.1174,0.1087,1.3226
2.111,-7.9738,2.1976,-0.4343,0.1189,0.1153,1.3488
2.162,-7.968,2.195,-0.409,0.121,0.1253,1.3848
2.212,-7.9588,2.1912,-0.3723,0.1221,0.1319,1.4075
2.262,-7.9523,2.1887,-0.3495,0.1237,0.1427,1.4395
2.312,-7.9418,2.1851,-0.3188,0.1246,0.1499,1.4583
2.363,-7.9346,2.1828,-0.3001,0.1258,0.162,1.4862
2.413,-7.9271,2.1805,-0.283,0.1264,0.1703,1.5029
2.463,-7.9155,2.1773,-0.2597,0.1271,0.183,1.5258
2.513,-7.9075,2.1752,-0.2453,0.1274,0.1898,1.5368
2.563,-7.8951,2.1722,-0.226,0.1277,0.2024,1.5552
2.614,-7.8867,2.1703,-0.2142,0.1278,0.2107,1.5662
2.664,-7.8781,2.1685,-0.2034,0.1278,0.2237,1.5814
2.714,-7.865,2.1659,-0.1885,0.1277,0.2329,1.5912
2.764,-7.8561,2.1642,-0.1794,0.1273,0.2462,1.6041
2.815,-7.8425,2.1619,-0.167,0.127,0.2556,1.6125
2.865,-7.8333,2.1603,-0.1595,0.1263,0.2699,1.6237
2.915,-7.824,2.1589,-0.1526,0.1259,0.2774,1.629
2.965,-7.8099,2.1567,-0.1431,0.1251,0.2912,1.6382
3.015,-7.8004,2.1553,-0.1372,0.1244,0.3009,1.6441
3.066,-7.786,2.1533,-0.1293,0.1233,0.3149,1.6518
3.116,-7.7763,2.1521,-0.1245,0.1226,0.324,1.6564
3.166,-7.7665,2.1509,-0.1199,0.1214,0.3382,1.6633
3.216,-7.7517,2.1491,-0.1132,0.1204,0.3481,1.6678
3.266,-7.7417,2.148,-0.1091,0.1189,0.3631,1.674
3.317,-7.7266,2.1464,-0.1036,0.1179,0.3731,1.6777
3.367,-7.7165,2.1453,-0.1003,0.1165,0.386,1.6821
3.417,-7.7064,2.1443,-0.0973,0.1154,0.3954,1.685
3.467,-7.6912,2.1429,-0.0931,0.1138,0.4098,1.689
3.518,-7.681,2.142,-0.0906,0.1126,0.4192,1.6915
3.568,-7.6708,2.141,-0.0883,0.1109,0.4337,1.6949
3.618,-7.6555,2.1397,-0.0852,0.1096,0.4439,1.6971
3.668,-7.6452,2.1388,-0.0833,0.1076,0.4592,1.7
3.719,-7.6298,2.1376,-0.0807,0.1063,0.4694,1.7018
3.769,-7.6195,2.1367,-0.0792,0.1046,0.4826,1.704
3.819,-7.6092,2.1359,-0.0778,0.1033,0.4921,1.7053
3.869,-7.5937,2.1347,-0.076,0.1013,0.5068,1.7072
3.919,-7.5834,2.134,-0.0748,0.0993,0.5215,1.7089
3.97,-7.5678,2.1328,-0.0733,0.0979,0.5318,1.7099
4.02,-7.5575,2.132,-0.0725,0.0965,0.5413,1.7108
4.07,-7.5471,2.1313,-0.0716,0.0943,0.5568,1.7121
4.12,-7.5315,2.1302,-0.0705,0.0929,0.5671,1.7129
4.171,-7.5211,2.1295,-0.0699,0.091,0.5804,1.7139
4.221,-7.5055,2.1284,-0.069,0.0888,0.5951,1.7149
4.271,-7.4951,2.1277,-0.0685,0.0874,0.6055,1.7154
4.321,-7.4847,2.1269,-0.0681,0.0852,0.6202,1.7162
4.371,-7.4691,2.1259,-0.0675,0.0838,0.6298,1.7167
4.422,-7.4586,2.1252,-0.0672,0.0816,0.6446,1.7173
4.472,-7.4482,2.1245,-0.0668,0.0801,0.6549,1.7177
4.522,-7.4326,2.1234,-0.0664,0.0778,0.6705,1.7182
4.572,-7.4221,2.1227,-0.0661,0.0763,0.6808,1.7185
4.623,-7.4065,2.1217,-0.0657,0.0743,0.6941,1.719
4.673,-7.396,2.121,-0.0655,0.0729,0.7037,1.7192
4.723,-7.3856,2.1203,-0.0653,0.0706,0.7185,1.7196
4.773,-7.3699,2.1193,-0.065,0.0692,0.7282,1.7199
4.823,-7.3595,2.1186,-0.0648,0.067,0.743,1.7202
4.874,-7.3438,2.1176,-0.0646,0.0654,0.7533,1.7204
4.924,-7.3333,2.1169,-0.0645,0.0631,0.7689,1.7207
4.974,-7.3229,2.1163,-0.0643,0.0615,0.7792,1.7209
5.024,-7.3072,2.1153,-0.0641,0.0595,0.7926,1.7213
5.075,-7.2967,2.1146,-0.064,0.058,0.8022,1.7214
5.125,-7.281,2.1136,-0.0639,0.0558,0.817,1.7217
5.175,-7.2706,2.1129,-0.0638,0.0542,0.8274,1.7218
5.225,-7.2601,2.1122,-0.0637,0.052,0.8422,1.722
5.276,-7.2444,2.1112,-0.0636,0.0505,0.8518,1.7222
5.326,-7.2339,2.1106,-0.0635,0.0481,0.8674,1.7224
5.376,-7.2182,2.1096,-0.0634,0.0465,0.8777,1.7225
5.426,-7.2078,2.1089,-0.0633,0.0445,0.8911,1.7227
5.476,-7.1973,2.1083,-0.0632,0.0429,0.9015,1.7228
5.527,-7.1816,2.1073,-0.0632,0.0406,0.9163,1.7231
5.577,-7.1711,2.1066,-0.0631,0.0392,0.9259,1.7232
5.627,-7.1554,2.1056,-0.0631,0.0369,0.9407,1.7234
5.677,-7.1449,2.1049,-0.063,0.0354,0.9503,1.7235
5.727,-7.1344,2.1043,-0.063,0.033,0.9659,1.7236
5.778,-7.1187,2.1033,-0.0629,0.0314,0.9763,1.7238
5.828,-7.1082,2.1026,-0.0629,0.029,0.9918,1.7241
5.878,-7.0978,2.102,-0.0629,0.0277,1.0,1.7242
5.928,-7.0821,2.101,-0.0629,0.0255,1.0148,1.7243
5.979,-7.0716,2.1003,-0.0628,0.024,1.0244,1.7245
6.029,-7.0559,2.0993,-0.0628,0.0217,1.0393,1.7246
6.079,-7.0454,2.0987,-0.0628,0.0194,1.0541,1.7248
6.129,-7.0349,2.098,-0.0628,0.0178,1.0645,1.7249
6.179,-7.0192,2.097,-0.0628,0.0161,1.0748,1.7251
6.23,-7.0087,2.0964,-0.0627,0.0137,1.0904,1.7252
6.28,-6.993,2.0954,-0.0627,0.0125,1.0985,1.7253
6.33,-6.9825,2.0947,-0.0627,0.0101,1.1134,1.7255
6.38,-6.972,2.0941,-0.0627,0.0078,1.1282,1.7256
6.43,-6.9563,2.0931,-0.0627,0.0062,1.1386,1.7257
6.481,-6.9458,2.0924,-0.0627,0.0039,1.1534,1.7258
6.531,-6.9301,2.0914,-0.0627,0.0024,1.163,1.7258
6.581,-6.9197,2.0908,-0.0627,-0.0,1.1786,1.726
6.631,-6.9092,2.0901,-0.0627,-0.0017,1.1889,1.7261
6.681,-6.8935,2.0891,-0.0626,-0.0037,1.2023,1.7262
6.732,-6.883,2.0885,-0.0626,-0.0054,1.2127,1.7263
6.782,-6.8725,2.0878,-0.0626,-0.0077,1.2275,1.7264
6.832,-6.8568,2.0868,-0.0626,-0.0092,1.2371,1.7266
6.882,-6.8463,2.0862,-0.0626,-0.0115,1.2519,1.7267
6.933,-6.8306,2.0852,-0.0626,-0.013,1.2615,1.7268
6.983,-6.8201,2.0845,-0.0626,-0.0155,1.2771,1.727
7.033,-6.8096,2.0839,-0.0626,-0.0171,1.2875,1.727
7.083,-6.7939,2.0829,-0.0626,-0.0196,1.303,1.7272
7.133,-6.7834,2.0822,-0.0626,-0.0209,1.3112,1.7273
7.184,-6.7677,2.0813,-0.0626,-0.0232,1.326,1.7274
7.234,-6.7572,2.0806,-0.0626,-0.0247,1.3356,1.7275
7.284,-6.7467,2.0799,-0.0626,-0.0271,1.3504,1.7277
7.335,-6.731,2.079,-0.0626,-0.0287,1.3608,1.7277
7.385,-6.7206,2.0783,-0.0626,-0.031,1.3756,1.7278
7.435,-6.7048,2.0773,-0.0626,-0.0327,1.386,1.7278
7.485,-6.6944,2.0767,-0.0626,-0.0352,1.4016,1.7279
7.535,-6.6839,2.076,-0.0626,-0.0364,1.4097,1.7279
7.586,-6.6682,2.075,-0.0626,-0.0388,1.4245,1.7281
7.636,-6.6577,2.0744,-0.0626,-0.0404,1.4349,1.7281
7.686,-6.642,2.0734,-0.0626,-0.0428,1.4497,1.7282
7.737,-6.6315,2.0727,-0.0626,-0.0443,1.4593,1.7284
7.787,-6.621,2.0721,-0.0626,-0.0467,1.4742,1.7285
7.838,-6.6053,2.0711,-0.0626,-0.0483,1.4845,1.7286
7.888,-6.5948,2.0704,-0.0626,-0.0508,1.5001,1.7287
7.938,-6.5791,2.0694,-0.0626,-0.0524,1.5104,1.7289
7.989,-6.5686,2.0688,-0.0626,-0.0546,1.5238,1.729
8.039,-6.5581,2.0681,-0.0626,-0.0561,1.5334,1.7291
8.089,-6.5424,2.0671,-0.0626,-0.0585,1.5482,1.7292
8.139,-6.5319,2.0665,-0.0626,-0.06,1.5578,1.7293
8.189,-6.5162,2.0655,-0.0626,-0.0624,1.5727,1.7294
8.24,-6.5057,2.0648,-0.0626,-0.0649,1.5882,1.7295
8.29,-6.4952,2.0642,-0.0626,-0.0665,1.5986,1.7296
8.34,-6.4795,2.0632,-0.0626,-0.0682,1.6089,1.7297
8.39,-6.469,2.0625,-0.0626,-0.0703,1.6223,1.7299
8.44,-6.4586,2.0619,-0.0626,-0.0719,1.6319,1.73
8.491,-6.4428,2.0609,-0.0626,-0.0743,1.6467,1.7302
8.541,-6.4324,2.0602,-0.0626,-0.0766,1.6615,1.7304
8.591,-6.4167,2.0593,-0.0626,-0.0783,1.6719,1.7305
8.641,-6.4062,2.0586,-0.0626,-0.0807,1.6867,1.7305
8.692,-6.3957,2.0579,-0.0626,-0.0824,1.6971,1.7305
8.742,-6.38,2.057,-0.0626,-0.0849,1.7126,1.7305
8.792,-6.3695,2.0563,-0.0626,-0.0862,1.7208,1.7306
8.842,-6.3538,2.0553,-0.0626,-0.0886,1.7356,1.7307
8.892,-6.3433,2.0547,-0.0626,-0.0902,1.7459,1.7308
8.942,-6.3328,2.054,-0.0626,-0.0926,1.7607,1.7309
8.993,-6.3171,2.053,-0.0626,-0.0942,1.7704,1.731
9.043,-6.3066,2.0524,-0.0626,-0.0966,1.7852,1.7311
9.093,-6.2909,2.0514,-0.0626,-0.0983,1.7955,1.7313
9.143,-6.2804,2.0507,-0.0626,-0.1008,1.8111,1.7315
9.194,-6.2699,2.0501,-0.0626,-0.1025,1.8215,1.7316
9.244,-6.2542,2.0491,-0.0626,-0.1046,1.8348,1.7316
9.294,-6.2437,2.0484,-0.0626,-0.1062,1.8444,1.7317
9.344,-6.228,2.0474,-0.0626,-0.1086,1.8592,1.7316
9.394,-6.2175,2.0468,-0.0626,-0.1101,1.8688,1.7317
9.445,-6.2071,2.0461,-0.0626,-0.1125,1.8836,1.7318
9.495,-6.1913,2.0451,-0.0626,-0.1142,1.894,1.7319
9.545,-6.1809,2.0445,-0.0626,-0.1168,1.9095,1.732
9.595,-6.1704,2.0438,-0.0626,-0.1184,1.9199,1.7321
9.645,-6.1547,2.0428,-0.0626,-0.1206,1.9332,1.7321
9.696,-6.1442,2.0422,-0.0626,-0.1222,1.9429,1.7322
9.746,-6.1285,2.0412,-0.0626,-0.1246,1.9577,1.7324
9.796,-6.118,2.0405,-0.0626,-0.1263,1.968,1.7325
9.846,-6.1075,2.0399,-0.0626,-0.1287,1.9828,1.7326
9.896,-6.0918,2.0389,-0.0626,-0.1303,1.9925,1.7328
9.947,-6.0813,2.0382,-0.0626,-0.1328,2.008,1.7329
9.997,-6.0656,2.0373,-0.0626,-0.1345,2.0184,1.733
10.047,-6.0551,2.0366,-0.0626,-0.1367,2.0317,1.7331
10.097,-6.0446,2.0359,-0.0626,-0.1384,2.042,1.7332
10.147,-6.0289,2.035,-0.0626,-0.1408,2.0568,1.7333
10.198,-6.0184,2.0343,-0.0626,-0.1424,2.0665,1.7334
10.248,-6.0027,2.0333,-0.0626,-0.1448,2.0813,1.7336
10.298,-5.9922,2.0327,-0.0626,-0.1464,2.0909,1.7336
10.348,-5.9818,2.032,-0.0626,-0.1489,2.1064,1.7338
10.398,-5.966,2.031,-0.0626,-0.1515,2.122,1.7339
10.448,-5.9556,2.0304,-0.0626,-0.1532,2.1323,1.734
10.499,-5.9398,2.0294,-0.0626,-0.1545,2.1405,1.7341
10.549,-5.9294,2.0287,-0.0626,-0.157,2.1553,1.7342
10.599,-5.9189,2.0281,-0.0626,-0.1594,2.1701,1.7343
10.649,-5.9032,2.0271,-0.0626,-0.161,2.1797,1.7343
10.699,-5.8927,2.0264,-0.0626,-0.1635,2.1945,1.7343
10.75,-5.8822,2.0258,-0.0626,-0.1652,2.2049,1.7345
10.8,-5.8665,2.0248,-0.0626,-0.1669,2.2152,1.7346
10.85,-5.856,2.0241,-0.0626,-0.1694,2.2308,1.7348
10.9,-5.8403,2.0231,-0.0626,-0.1717,2.2441,1.7349
10.95,-5.8298,2.0225,-0.0626,-0.1732,2.2537,1.7349
11.001,-5.8193,2.0218,-0.0626,-0.1757,2.2685,1.7351
11.051,-5.8036,2.0208,-0.0626,-0.1774,2.2788,1.7352
11.101,-5.7931,2.0202,-0.0626,-0.179,2.2885,1.7353
11.151,-5.7774,2.0192,-0.0626,-0.1815,2.3033,1.7354
11.202,-5.7669,2.0185,-0.0626,-0.184,2.3188,1.7357
11.252,-5.7564,2.0179,-0.0626,-0.1858,2.3292,1.7358
11.302,-5.7407,2.0169,-0.0626,-0.188,2.3425,1.7359
11.352,-5.7302,2.0162,-0.0626,-0.1897,2.3528,1.7359
11.402,-5.7145,2.0153,-0.0626,-0.1922,2.3676,1.736
11.452,-5.704,2.0146,-0.0626,-0.1938,2.3772,1.7362
11.503,-5.6936,2.014,-0.0626,-0.1963,2.392,1.7363
11.553,-5.6778,2.013,-0.0626,-0.1979,2.4017,1.7364
11.603,-5.6674,2.0123,-0.0626,-0.2005,2.4172,1.7365
11.653,-5.6569,2.0117,-0.0626,-0.2022,2.4275,1.7366
11.704,-5.6412,2.0107,-0.0626,-0.2048,2.4431,1.7368
11.754,-5.6307,2.01,-0.0626,-0.2062,2.4512,1.7369
11.804,-5.615,2.009,-0.0626,-0.2086,2.466,1.737
11.854,-5.6045,2.0084,-0.0626,-0.2103,2.4756,1.7371
11.904,-5.594,2.0077,-0.0626,-0.2127,2.4904,1.7371
11.955,-5.5783,2.0067,-0.0626,-0.2145,2.5008,1.7371
12.005,-5.5678,2.0061,-0.0626,-0.217,2.5156,1.7373
12.055,-5.5521,2.0051,-0.0626,-0.2187,2.5259,1.7374
12.105,-5.5416,2.0044,-0.0626,-0.2213,2.5415,1.7375
12.155,-5.5311,2.0038,-0.0626,-0.2227,2.5496,1.7376
12.206,-5.5154,2.0028,-0.0626,-0.2252,2.5644,1.7376
12.256,-5.5049,2.0021,-0.0626,-0.2269,2.5747,1.7377
12.306,-5.4892,2.0011,-0.0626,-0.2294,2.5895,1.7378
12.356,-5.4787,2.0005,-0.0626,-0.231,2.5991,1.7379
12.406,-5.4683,1.9998,-0.0626,-0.2335,2.6139,1.7381
12.457,-5.4525,1.9989,-0.0626,-0.2353,2.6243,1.7382
12.507,-5.4421,1.9982,-0.0626,-0.2379,2.6398,1.7383
12.557,-5.4263,1.9972,-0.0626,-0.2397,2.6502,1.7384
12.607,-5.4159,1.9966,-0.0626,-0.2419,2.6635,1.7386
12.658,-5.4054,1.9959,-0.0626,-0.2435,2.6731,1.7387
12.708,-5.3897,1.9949,-0.0626,-0.246,2.6879,1.7389
12.758,-5.3792,1.9943,-0.0626,-0.2477,2.6975,1.7391
12.808,-5.3687,1.9936,-0.0626,-0.2502,2.7123,1.7392
12.858,-5.353,1.9926,-0.0626,-0.2519,2.7226,1.7393
12.909,-5.3425,1.992,-0.0626,-0.2546,2.7382,1.7393
12.959,-5.3268,1.991,-0.0626,-0.2564,2.7485,1.7393
13.009,-5.3163,1.9903,-0.0626,-0.2586,2.7618,1.7395
13.059,-5.3058,1.9897,-0.0626,-0.2603,2.7714,1.7396
13.109,-5.2901,1.9887,-0.0626,-0.2628,2.7862,1.7397
13.16,-5.2796,1.988,-0.0626,-0.2653,2.801,1.7398
13.21,-5.2639,1.987,-0.0626,-0.2671,2.8114,1.74
13.26,-5.2534,1.9864,-0.0626,-0.2687,2.821,1.74
13.31,-5.243,1.9857,-0.0626,-0.2714,2.8365,1.74
13.361,-5.2272,1.9847,-0.0626,-0.274,2.852,1.7401
13.411,-5.2168,1.9841,-0.0626,-0.2754,2.8601,1.7402
13.461,-5.201,1.9831,-0.0626,-0.2779,2.8749,1.7403
13.511,-5.1906,1.9824,-0.0626,-0.2797,2.8853,1.7404
13.561,-5.1801,1.9818,-0.0626,-0.2822,2.9001,1.7405
13.612,-5.1644,1.9808,-0.0626,-0.2839,2.9097,1.7406
13.662,-5.1539,1.9801,-0.0626,-0.2864,2.9245,1.7408
13.712,-5.1382,1.9792,-0.0626,-0.2882,2.9348,1.7409
13.762,-5.1277,1.9785,-0.0626,-0.2909,2.9503,1.741
13.813,-5.1172,1.9778,-0.0626,-0.2926,2.9607,1.7411
13.863,-5.1015,1.9769,-0.0626,-0.2949,2.974,1.7412
13.913,-5.091,1.9762,-0.0626,-0.2966,2.9836,1.7413
13.963,-5.0805,1.9755,-0.0626,-0.2991,2.9984,1.7414
14.014,-5.0648,1.9746,-0.0626,-0.3008,3.008,1.7414
14.064,-5.0543,1.9739,-0.0626,-0.3033,3.0228,1.7415
14.114,-5.0386,1.9729,-0.0626,-0.3051,3.0331,1.7415
14.164,-5.0281,1.9723,-0.0626,-0.3078,3.0486,1.7416
14.215,-5.0176,1.9716,-0.0626,-0.3096,3.059,1.7417
14.265,-5.0019,1.9706,-0.0626,-0.3119,3.0723,1.7417
14.315,-4.9914,1.97,-0.0626,-0.3135,3.0819,1.7419
14.365,-4.9757,1.969,-0.0626,-0.3161,3.0967,1.742
14.415,-4.9652,1.9683,-0.0626,-0.3179,3.107,1.742
14.466,-4.9548,1.9677,-0.0626,-0.3204,3.1218,1.7421
14.516,-4.939,1.9667,-0.0626,-0.3221,3.1314,1.7421
14.566,-4.9286,1.966,-0.0626,-0.3248,3.1469,1.7423
14.616,-4.9128,1.965,-0.0626,-0.3266,3.1573,1.7424
14.667,-4.9024,1.9644,-0.0626,-0.3289,3.1706,1.7425
14.717,-4.8919,1.9637,-0.0626,-0.3307,3.1809,1.7426
14.767,-4.8762,1.9627,-0.0626,-0.3332,3.1957,1.7427
14.817,-4.8657,1.9621,-0.0626,-0.3349,3.2053,1.7427
14.867,-4.85,1.9611,-0.0626,-0.3375,3.2201,1.7428
14.918,-4.8395,1.9604,-0.0626,-0.3391,3.2297,1.7429
14.968,-4.829,1.9598,-0.0626,-0.3418,3.2452,1.7431
15.018,-4.8133,1.9588,-0.0626,-0.3445,3.2607,1.7432
15.068,-4.8028,1.9581,-0.0626,-0.3463,3.2711,1.7433
15.119,-4.7923,1.9575,-0.0626,-0.3478,3.2792,1.7433
15.169,-4.7766,1.9565,-0.0626,-0.3503,3.294,1.7435
15.219,-4.7661,1.9558,-0.0626,-0.3529,3.3087,1.7437
15.269,-4.7504,1.9549,-0.0626,-0.3546,3.3184,1.7437
15.319,-4.7399,1.9542,-0.0626,-0.3572,3.3331,1.7439
15.37,-4.7295,1.9535,-0.0626,-0.359,3.3435,1.7441
15.42,-4.7137,1.9526,-0.0626,-0.3617,3.359,1.7441
15.47,-4.7033,1.9519,-0.0626,-0.3635,3.3693,1.7442
15.52,-4.6875,1.9509,-0.0626,-0.3658,3.3826,1.7443
15.571,-4.6771,1.9503,-0.0626,-0.3675,3.3922,1.7444
15.621,-4.6666,1.9496,-0.0626,-0.3701,3.407,1.7446
15.671,-4.6509,1.9486,-0.0626,-0.3719,3.4173,1.7447
15.721,-4.6404,1.948,-0.0626,-0.3745,3.4321,1.7447
15.771,-4.6247,1.947,-0.0626,-0.3762,3.4417,1.7448
15.821,-4.6142,1.9463,-0.0626,-0.3789,3.4572,1.7449
15.872,-4.6037,1.9457,-0.0626,-0.3808,3.4676,1.745
15.922,-4.588,1.9447,-0.0626,-0.3831,3.4809,1.7451
15.972,-4.5775,1.944,-0.0626,-0.3849,3.4912,1.7451
16.022,-4.5618,1.943,-0.0626,-0.3875,3.506,1.7452
16.072,-4.5513,1.9424,-0.0626,-0.3892,3.5156,1.7453
16.123,-4.5408,1.9417,-0.0626,-0.3918,3.5304,1.7455
16.173,-4.5251,1.9407,-0.0626,-0.3935,3.54,1.7456
16.223,-4.5146,1.9401,-0.0626,-0.3963,3.5555,1.7457
16.273,-4.5042,1.9394,-0.0626,-0.3981,3.5658,1.7458
16.324,-4.4884,1.9384,-0.0626,-0.4008,3.5813,1.7459
16.374,-4.478,1.9378,-0.0626,-0.4023,3.5894,1.7461
16.424,-4.4622,1.9368,-0.0626,-0.4049,3.6042,1.7461
16.474,-4.4518,1.9361,-0.0626,-0.4066,3.6138,1.7462
16.524,-4.4413,1.9355,-0.0626,-0.4092,3.6286,1.7462
16.575,-4.4256,1.9345,-0.0626,-0.411,3.6389,1.7463
16.625,-4.4151,1.9339,-0.0626,-0.4137,3.6537,1.7464
16.675,-4.3994,1.9329,-0.0626,-0.4155,3.664,1.7465
16.725,-4.3889,1.9322,-0.0626,-0.4182,3.6795,1.7468
16.775,-4.3784,1.9316,-0.0626,-0.4197,3.6877,1.7469
16.826,-4.3627,1.9306,-0.0626,-0.4223,3.7024,1.7472
16.876,-4.3522,1.9299,-0.0626,-0.4242,3.7128,1.7471
16.926,-4.3365,1.9289,-0.0626,-0.4268,3.7275,1.7473
16.976,-4.326,1.9283,-0.0626,-0.4285,3.7371,1.7474
17.026,-4.3155,1.9276,-0.0626,-0.4311,3.7519,1.7475
17.077,-4.2998,1.9266,-0.0626,-0.433,3.7622,1.7475
17.127,-4.2893,1.926,-0.0626,-0.4358,3.7777,1.7477
17.177,-4.2736,1.925,-0.0626,-0.4376,3.7881,1.7478
17.227,-4.2631,1.9243,-0.0626,-0.44,3.8014,1.7479
17.277,-4.2526,1.9237,-0.0626,-0.4417,3.811,1.7479
17.328,-4.2369,1.9227,-0.0626,-0.4443,3.8257,1.748
17.378,-4.2264,1.922,-0.0626,-0.4461,3.8353,1.748
17.428,-4.216,1.9214,-0.0626,-0.4487,3.8501,1.7481
17.478,-4.2002,1.9204,-0.0626,-0.4506,3.8604,1.7482
17.528,-4.1898,1.9197,-0.0626,-0.4533,3.8759,1.7484
17.579,-4.174,1.9188,-0.0626,-0.4552,3.8863,1.7485
17.629,-4.1636,1.9181,-0.0626,-0.4576,3.8995,1.7486
17.679,-4.1531,1.9174,-0.0626,-0.4593,3.9091,1.7487
17.729,-4.1374,1.9165,-0.0626,-0.462,3.9239,1.7488
17.779,-4.1269,1.9158,-0.0626,-0.4646,3.9387,1.7489
17.829,-4.1112,1.9148,-0.0626,-0.4665,3.949,1.749
17.88,-4.1007,1.9142,-0.0626,-0.4682,3.9586,1.749
17.93,-4.0902,1.9135,-0.0626,-0.471,3.9741,1.7492
17.98,-4.0745,1.9125,-0.0626,-0.4738,3.9896,1.7494
18.03,-4.064,1.9119,-0.0626,-0.4753,3.9977,1.7494
18.08,-4.0483,1.9109,-0.0626,-0.4779,4.0125,1.7494
18.131,-4.0378,1.9102,-0.0626,-0.4798,4.0228,1.7495
18.181,-4.0273,1.9096,-0.0626,-0.4815,4.0324,1.7496
18.231,-4.0116,1.9086,-0.0626,-0.4842,4.0472,1.7497
18.281,-4.0011,1.9079,-0.0626,-0.4869,4.0619,1.7498
18.331,-3.9907,1.9073,-0.0626,-0.4887,4.0723,1.75
18.382,-3.9749,1.9063,-0.0626,-0.4915,4.0878,1.7502
18.432,-3.9645,1.9056,-0.0626,-0.4934,4.0981,1.7503
18.482,-3.9487,1.9046,-0.0626,-0.4958,4.1114,1.7504
18.532,-3.9383,1.904,-0.0626,-0.4976,4.121,1.7505
18.582,-3.9278,1.9033,-0.0626,-0.5003,4.1357,1.7506
18.633,-3.9121,1.9023,-0.0626,-0.502,4.1453,1.7507
18.683,-3.9016,1.9017,-0.0626,-0.5047,4.1601,1.7508
18.733,-3.8859,1.9007,-0.0626,-0.5066,4.1704,1.7508
18.783,-3.8754,1.9,-0.0626,-0.5094,4.1859,1.7508
18.833,-3.8649,1.8994,-0.0626,-0.5113,4.1962,1.7509
18.884,-3.8492,1.8984,-0.0626,-0.5137,4.2095,1.751
18.934,-3.8387,1.8977,-0.0626,-0.5154,4.2191,1.7511
18.984,-3.823,1.8968,-0.0626,-0.5181,4.2339,1.7512
19.034,-3.8125,1.8961,-0.0626,-0.52,4.2442,1.7513
19.085,-3.802,1.8954,-0.0626,-0.5227,4.2589,1.7514
19.135,-3.7863,1.8945,-0.0626,-0.5244,4.2685,1.7514
19.185,-3.7758,1.8938,-0.0626,-0.5273,4.284,1.7515
19.236,-3.7601,1.8928,-0.0626,-0.5292,4.2944,1.7516
19.286,-3.7496,1.8922,-0.0626,-0.5316,4.3076,1.7517
19.336,-3.7392,1.8915,-0.0626,-0.5335,4.318,1.7518
