t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.1098,2.2856,-1.7032,0.0,0.0,0.0242
0.05,-8.1098,2.2856,-1.7007,0.0,0.0,0.0242
0.101,-8.1103,2.2829,-1.6669,0.0,0.0,0.0242
0.151,-8.1107,2.2786,-1.6417,0.0,0.0,0.0248
0.201,-8.1112,2.273,-1.6165,0.0143,0.0013,0.1188
0.251,-8.1115,2.2642,-1.5787,0.0199,0.002,0.1423
0.302,-8.1114,2.2582,-1.5535,0.0288,0.0034,0.1785
0.352,-8.1112,2.2521,-1.5282,0.0342,0.0044,0.2001
0.402,-8.1106,2.2428,-1.4906,0.0435,0.0065,0.2379
0.452,-8.1099,2.2365,-1.4656,0.0497,0.008,0.2629
0.502,-8.1087,2.227,-1.4286,0.0585,0.0105,0.2981
0.553,-8.1077,2.2207,-1.4043,0.0642,0.0123,0.3207
0.603,-8.1067,2.2144,-1.3804,0.0728,0.0152,0.3546
0.653,-8.1048,2.205,-1.3456,0.077,0.0168,0.3711
0.703,-8.1033,2.1989,-1.3232,0.0859,0.0204,0.4048
0.753,-8.1009,2.1897,-1.2899,0.0926,0.0233,0.4303
0.804,-8.0991,2.1837,-1.2677,0.1008,0.0272,0.4622
0.854,-8.0971,2.1777,-1.2455,0.106,0.0298,0.4829
